No,Story_Point,In_Progress_Minutes,Resolution_Time_Minutes,Total_Effort_Minutes
227,2,14790,637872,14790
228,2,1332,666525,1332
229,2,609,7647,609
230,2,4252,4257,4252
231,2,4193,685436,4193
232,2,13,705247,13
233,2,180,1247,180
234,2,2853,5326,2853
235,2,5921,5923,5921
236,2,35,35,35
237,2,126,373,126
238,2,2875,2877,2875
239,2,2858,19663,2858
240,2,47,97,47
241,2,5498,5552,5498
242,2,4272,11375,4272
243,2,1321,85015,1321
244,2,5767,466419,5767
245,2,584,1192,584
246,2,6,5293,6
247,2,50,170223,50
248,2,1490,11370,1490
249,2,2495,278382,2495
250,2,660,7332,660
251,2,17127,113832,17127
252,2,5386,5432,5386
253,2,7570,56981,7570
254,2,214,214,214
255,2,25,30760,25
256,2,3249,833411,3249
257,2,1474,833724,1474
258,2,4317,4328,4317
259,2,15534,219693,15534
260,2,1353,1353,1353
261,2,3260,83502,3260
262,2,255,293,255
263,2,59,188619,59
264,2,6202,6206,6202
265,2,35,35,35
266,2,6658,6888,6658
267,2,3202,3205,3202
268,2,1195,1197,1195
269,2,1,189004,1
270,2,389,389,389
271,2,58,30448,58
272,2,5387,5390,5387
273,2,20273,1031240,20273
274,2,766,1477,766
275,2,353,319653,353
276,2,1627,23616,1627
277,2,364,1456,364
278,2,11,31584,11
279,2,66,278,66
280,2,28827,1192307,28827
281,2,41,489711,41
282,2,946,12880,946
283,2,1420,15699,1420
284,2,10305,32950,10305
285,2,3005,50281,3005
286,2,3,3,3
287,2,7389,7400,7389
288,2,5950,11716,5950
289,2,179,5976,179
290,2,1547,911826,1547
291,2,176,207,176
292,2,624,1259,624
293,2,412,24546,412
294,2,172,5489,172
295,2,23,3026,23
296,2,368,23078,368
297,2,196,6745,196
298,2,17675,17677,17675
299,2,18509,18512,18509
300,2,18523,18525,18523
301,3,4313,21535,4313
302,3,11,1162,11
303,3,98,4273,98
304,3,4108,299490,4108
305,3,6879,320740,6879
306,3,2,336122,2
307,3,4438,336210,4438
308,3,38,201,38
309,3,1498,1661,1498
310,3,2797,2980,2797
311,3,1597,2668,1597
312,3,4013,4322,4013
313,3,1409,389950,1409
314,3,1419,390095,1419
315,3,227,30749,227
316,3,1695,1695,1695
317,3,1588,43622,1588
318,3,1519,2935,1519
319,3,4108,470702,4108
320,3,237,1622,237
321,3,1562,3906,1562
322,3,281,1130,281
323,3,135,2945,135
324,3,280,280,280
325,3,958,1222,958
326,3,257,309,257
327,3,545,7824,545
328,3,7420,18752,7420
329,3,1186,11280,1186
330,3,1497,5196,1497
331,3,3976,541091,3976
332,3,27371,46521,27371
333,3,65,547163,65
334,3,1170,15740,1170
335,3,147,551408,147
336,3,7643,16116,7643
337,3,1846,2958,1846
338,3,7030,582825,7030
339,3,1445,122801,1445
340,3,1238,1326,1238
341,3,12966,84674,12966
342,3,210,658057,210
343,3,112,673438,112
344,3,10337,142620,10337
345,3,144,144020,144
346,3,1161,2781,1161
347,3,1562,63191,1562
348,3,1464,130085,1464
349,3,1712,122676,1712
350,3,6171,704199,6171
351,3,4290,7402,4290
352,3,1359,1756,1359
353,3,1494,11831,1494
354,3,8358,169536,8358
355,3,3945,14302,3945
356,3,801,1247,801
357,3,299,1550,299
358,3,7283,13161,7283
359,3,7242,204355,7242
360,3,94,196,94
361,3,162,249268,162
362,3,5764,223107,5764
363,3,374,7290,374
364,3,5398,84902,5398
365,3,3919,307982,3919
366,3,9634,59701,9634
367,3,29,37,29
368,3,5261,29860,5261
369,3,3319,33894,3319
370,3,1495,945616,1495
371,3,38,2973,38
372,3,1252,7295,1252
373,3,13120,40425,13120
374,3,66,10114,66
375,3,1077,6889,1077
376,3,689,1547,689
377,3,2522,3903,2522
378,3,50,11143,50
379,3,5580,36213,5580
380,3,2996,31679,2996
381,3,43,10273,43
382,3,1442,28641,1442
383,3,1567,5727,1567
384,3,2997,8880,2997
385,3,318,10104,318
386,3,193,21843,193
387,3,8643,27056,8643
388,3,1343,93665,1343
389,3,1409,28348,1409
390,3,3144,4276,3144
391,3,2142,2746,2142
392,3,76,23426,76
393,3,4519,99388,4519
394,3,214,20258,214
395,3,21,64764,21
396,3,34,1070265,34
397,3,5805,10053,5805
398,3,250,13293,250
399,3,134,157,134
400,3,442,2529,442
401,3,4270,18668,4270
402,3,1914,6209,1914
403,3,157,366,157
404,3,5301,5640,5301
405,3,679,698,679
406,3,1319,2879,1319
407,3,1267,10302,1267
408,3,1200,44528,1200
409,3,127,146,127
410,3,2598,24269,2598
411,3,1350,11606,1350
412,3,4297,16852,4297
413,3,7276,9900,7276
414,3,8,242,8
415,3,284,262250,284
416,3,2932,3068,2932
417,3,15813,15870,15813
418,3,7105,8507,7105
419,3,15,37356,15
420,3,7083,17304,7083
421,3,160,164,160
422,3,1004,130467,1004
423,3,5954,5955,5954
424,3,7025,7027,7025
425,3,4,30326,4
426,3,8354,8371,8354
427,3,1,11868,1
428,3,1441,3057,1441
429,3,11246,26078,11246
430,3,74,269,74
431,3,14388,37331,14388
432,3,283,10034,283
433,3,1391,1397,1391
434,3,2603,2754,2603
435,3,1674,3016,1674
436,3,11841,13211,11841
437,3,5391,5393,5391
438,3,2516,2518,2516
439,3,49,4532,49
440,3,59,63,59
441,3,18299,60593,18299
442,3,20258,153906,20258
443,4,4312,264725,4312
444,4,345,273764,345
445,4,1542,282189,1542
446,4,3146,285263,3146
447,4,4436,285285,4436
448,4,5493,290443,5493
449,4,1303,292318,1303
450,4,1546,303705,1546
451,4,5650,309380,5650
452,4,6445,309749,6445
453,4,1645,312041,1645
454,4,1557,313760,1557
455,4,1482,340174,1482
456,4,946,359623,946
457,4,24589,359604,24589
458,4,60484,370066,60484
459,4,4340,374434,4340
460,4,5566,375508,5566
461,4,5707,375813,5707
462,4,46245,384018,46245
463,4,8684,394165,8684
464,4,8502,400257,8502
465,4,2762,8611,2762
466,4,215,413316,215
467,4,7220,414640,7220
468,4,5555,420372,5555
469,4,178,420566,178
470,4,6054,421904,6054
471,4,3927,424682,3927
472,4,1475,431768,1475
473,4,1509,463700,1509
474,4,18817,450440,18817
475,4,3571,460877,3571
476,4,26,464407,26
477,4,2865,464892,2865
478,4,1588,466249,1588
479,4,15802,686642,15802
480,4,4,472074,4
481,4,1439,475211,1439
482,4,2458,70014,2458
483,4,4534,486698,4534
484,4,5713,492455,5713
485,4,5124,107918,5124
486,4,5373,502176,5373
487,4,6150,502599,6150
488,4,1083,503970,1083
489,4,5940,504003,5940
490,4,5645,510944,5645
491,4,5729,513260,5729
492,4,2531,12901,2531
493,4,13147,525242,13147
494,4,6884,525290,6884
495,4,29119,531355,29119
496,4,3209,532682,3209
497,4,2791,542895,2791
498,4,3031,547113,3031
499,4,4694,553741,4694
500,4,6175,554434,6175
501,4,4320,555593,4320
502,4,14313,557124,14313
503,4,1208,564602,1208
504,4,6943,567149,6943
505,4,92,574284,92
506,4,1283,574415,1283
507,4,12480,575870,12480
508,4,1153,29893,1153
509,4,8328,586161,8328
510,4,34,595851,34
511,4,2808,608281,2808
512,4,5705,611980,5705
513,4,13638,612857,13638
514,4,793,621889,793
515,4,4694,621983,4694
516,4,13262,632343,13262
517,4,11,645834,11
518,4,3,653786,3
519,4,8476,654980,8476
520,4,82,656484,82
521,4,215,44768,215
522,4,9832,9834,9832
523,4,738,841,738
524,4,1268,9310,1268
525,4,251,253,251
526,4,2893,2967,2893
527,4,1,1141,1
528,4,3211,7174,3211
529,4,439,1727,439
530,4,4622,34507,4622
531,4,1202,5777,1202
532,4,7569,8846,7569
533,4,4559,40487,4559
534,4,403,1867,403
535,4,6750,166571,6750
536,4,1261,238917,1261
537,4,5642,313908,5642
538,4,331,768313,331
539,4,4112,50418,4112
540,4,75,193304,75
541,4,244,786049,244
542,4,210,66240,210
543,4,1609,808739,1609
544,4,1814,809426,1814
545,4,106,1065,106
546,4,1519,257601,1519
547,4,77,118490,77
548,4,3942,14141,3942
549,4,712,904200,712
550,4,292,4078,292
551,4,6047,937054,6047
552,4,17178,937410,17178
553,4,242,29164,242
554,4,11950,206585,11950
555,4,1246,41907,1246
556,4,1608,974583,1608
557,4,74,1475,74
558,4,40,421709,40
559,4,915,56938,915
560,4,4687,986094,4687
561,4,3736,11338,3736
562,4,6967,997262,6967
563,4,5797,361335,5797
564,4,3298,244864,3298
565,4,361,1411716,361
566,4,8101,1499389,8101
567,4,5203,1190596,5203
